word1           word2           human      Lin                  Resnik               Word2Vec            
tiger           cat                   7.35 2.08751967496 2.22415047123    3.128907084465027
tiger           tiger                 10.0 10.00000000000 12.26837533573                 10.0
book            paper                 7.46 1.21435702847 0.80175911495    4.542160630226135
computer        keyboard              7.62 3.73790842348 4.07648147539   4.4146111607551575
computer        internet              7.58 3.30190429510 3.25767902589    5.857782363891602
plane           car                   5.77 7.19433907227 5.92176479070    3.815215826034546
train           car                   6.31 6.78666605267 5.76892251967    4.673362672328949
telephone       communication          7.5 -0.00000000000 -0.00000000000    4.718910753726959
television      radio                 6.77 9.03651058702 8.92433636790   6.7896997928619385
media           radio                 7.42 8.32276006697 7.02076663917    4.727628231048584
drug            abuse                 6.85 -0.00000000000 -0.00000000000    4.468926191329956
bread           butter                6.19 7.11420490146 6.87981109133    6.225634813308716
cucumber        potato                5.92 0.00000000000 0.80175911495     4.51946884393692
doctor          nurse                  7.0 8.35153474709 7.93035864205    5.859818458557129
professor       doctor                6.62 7.03652661045 6.39406901951    4.195367097854614
student         professor             6.81 2.62086070233 2.33354524374   4.5791661739349365
smart           student               4.62 -0.00000000000 -0.00000000000    2.302751988172531
smart           stupid                5.81 -0.00000000000 -0.00000000000    4.276131689548492
company         stock                 7.08 0.69649527476 0.59622920790     4.69498336315155
stock           market                8.08 0.65637188692 0.59622920790   6.7435067892074585
stock           phone                 1.62 -0.00000000000 -0.00000000000    2.390124499797821
stock           cd                    1.31 2.78312941820 3.03657793231   1.0436850786209106
stock           jaguar                0.92 -0.00000000000 -0.00000000000   0.6333696842193604
stock           egg                   1.81 -0.00000000000 -0.00000000000   1.4255410432815552
fertility       egg                   6.69 -0.00000000000 -0.00000000000    2.264742851257324
stock           live                  3.73 0.00000000000 0.00000000000   1.3229954242706299
stock           life                  0.92 0.69037093133 0.59622920790    2.270859479904175
book            library               7.46 2.65820778874 2.30584873145    4.165313243865967
bank            money                 8.12 -0.00000000000 -0.00000000000    4.363053739070892
wood            forest                7.73 0.68125731964 0.59622920790   3.9838749170303345
money           cash                  9.08 7.88883912642 6.25493188190    7.336214780807495
professor       cucumber              0.31 0.00000000000 2.22415047123  -0.5417889356613159
king            cabbage               0.23 0.86650475349 0.80175911495 -0.14721639454364777
king            queen                 8.58 2.58721359921 2.22415047123    6.336469054222107
king            rook                  5.92 1.64185956585 1.53183374322    1.914372444152832
bishop          rabbi                 6.69 6.65565090043 6.96175916636    3.318946957588196
football        soccer                9.03 9.05753005526 11.06440253140    7.682591676712036
football        basketball            6.81 7.53602502571 8.71620692715    7.341023683547974
football        tennis                6.63 7.69995504593 8.71620692715    4.629794359207153
tennis          racket                7.56 1.69967436194 2.03632771779     3.43211829662323
law             lawyer                8.38 -0.00000000000 -0.00000000000    4.492787718772888
movie           star                  7.38 1.89326851753 1.53183374322    5.045109391212463
movie           popcorn               6.19 0.00000000000 1.53183374322   3.0692878365516663
movie           critic                6.73 1.80279911542 1.53183374322   2.7379870414733887
movie           theater               7.92 2.93316464934 2.30584873145   4.7846680879592896
physics         proton                8.12 -0.00000000000 -0.00000000000    1.082446426153183
physics         chemistry             7.35 8.17907088214 8.71620692715    7.379895448684692
space           chemistry             4.88 0.59534925509 0.59622920790    1.741025149822235
alcohol         chemistry             5.54 0.62235427147 0.59622920790   1.5218894183635712
vodka           gin                   8.46 0.00000000000 8.85612811788    5.973148941993713
vodka           brandy                8.13 0.00000000000 8.85612811788    5.515040159225464
drink           car                   3.04 -0.00000000000 -0.00000000000    2.275724709033966
drink           ear                   1.31 -0.00000000000 -0.00000000000   1.0249478369951248
drink           mouth                 5.96 -0.00000000000 -0.00000000000   2.4786972999572754
drink           eat                   6.87 5.78677923615 4.72142537494    6.121312975883484
baby            mother                7.85 6.31591318989 5.71049279143    5.449445843696594
drink           mother                2.65 -0.00000000000 -0.00000000000   2.0563261210918427
car             automobile            8.94 10.00000000000 7.59140141761     5.95572829246521
gem             jewel                 8.96 2.12592108325 2.30584873145      4.8255455493927
journey         voyage                9.29 6.96917657303 6.18033877899    6.585056781768799
boy             lad                   8.83 6.14739635144 5.33214058542   3.0439937114715576
coast           shore                  9.1 9.63217380462 9.41574390581    5.113322138786316
asylum          madhouse              8.87 3.44587730996 3.97936615520   0.1392854005098343
magician        wizard                9.02 2.15909256825 2.33354524374    4.954694211483002
